184.582: [Full GC [PSYoungGen: 57008K->23490K(2654720K)] [PSOldGen: 2697507K->2730687K(4420288K)] 2754515K->2754178K(7075008K) [PSPermGen: 46264K->45603K(86016K)], 6.1902500 secs] [Times: user=6.15 sys=0.03, real=6.19 secs] 
193.915: [GC [PSYoungGen: 2597696K->68592K(2645120K)] 5328383K->2803392K(7065408K), 0.5078350 secs] [Times: user=4.02 sys=0.03, real=0.51 secs] 
197.391: [GC [PSYoungGen: 2645104K->54656K(2631232K)] 5379904K->2845751K(7051520K), 0.1066020 secs] [Times: user=0.76 sys=0.09, real=0.10 secs] 
200.344: [GC [PSYoungGen: 2631168K->47632K(2656192K)] 5422263K->2871804K(7076480K), 0.0814190 secs] [Times: user=0.61 sys=0.04, real=0.08 secs] 
203.288: [GC [PSYoungGen: 2626640K->40864K(2619904K)] 5450812K->2895913K(7040192K), 0.0762380 secs] [Times: user=0.56 sys=0.05, real=0.08 secs] 
206.229: [GC [PSYoungGen: 2619872K->72688K(2641536K)] 5474921K->2930577K(7061824K), 0.0777720 secs] [Times: user=0.60 sys=0.01, real=0.08 secs] 
209.110: [GC [PSYoungGen: 2641520K->42656K(2649728K)] 5499409K->2961840K(7070016K), 0.0951170 secs] [Times: user=0.65 sys=0.10, real=0.09 secs] 
212.083: [GC [PSYoungGen: 2611488K->78816K(2633088K)] 5530672K->3001240K(7053376K), 0.0807500 secs] [Times: user=0.63 sys=0.01, real=0.08 secs] 
214.974: [GC [PSYoungGen: 2633056K->44512K(2642432K)] 5555480K->3026551K(7062720K), 0.0984210 secs] [Times: user=0.68 sys=0.09, real=0.10 secs] 
217.929: [GC [PSYoungGen: 2598752K->46576K(2634688K)] 5580791K->3059190K(7054976K), 0.0829080 secs] [Times: user=0.61 sys=0.04, real=0.09 secs] 
220.808: [GC [PSYoungGen: 2603184K->60656K(2639744K)] 5615798K->3103757K(7060032K), 0.0928790 secs] [Times: user=0.69 sys=0.05, real=0.09 secs] 
223.768: [GC [PSYoungGen: 2617264K->46336K(2643456K)] 5660365K->3119924K(7063744K), 0.0823640 secs] [Times: user=0.59 sys=0.06, real=0.08 secs] 
226.669: [GC [PSYoungGen: 2610240K->57216K(2645248K)] 5683828K->3161403K(7065536K), 0.0898630 secs] [Times: user=0.65 sys=0.07, real=0.09 secs] 
229.586: [GC [PSYoungGen: 2621120K->55408K(2645440K)] 5725307K->3190170K(7065728K), 0.0888500 secs] [Times: user=0.66 sys=0.05, real=0.09 secs] 
232.520: [GC [PSYoungGen: 2624112K->65328K(2647744K)] 5758874K->3230829K(7068032K), 0.0949730 secs] [Times: user=0.71 sys=0.05, real=0.10 secs] 
235.427: [GC [PSYoungGen: 2634032K->48752K(2649600K)] 5799533K->3245036K(7069888K), 0.0821060 secs] [Times: user=0.60 sys=0.06, real=0.08 secs] 
238.344: [GC [PSYoungGen: 2618928K->58112K(2649408K)] 5815212K->3285314K(7069696K), 0.0914120 secs] [Times: user=0.66 sys=0.06, real=0.10 secs] 
241.272: [GC [PSYoungGen: 2628288K->52624K(2647552K)] 5855490K->3310661K(7067840K), 0.0843080 secs] [Times: user=0.61 sys=0.06, real=0.09 secs] 
