time,build_number,project_name,project_name_1,project_path,rf_critical_failed,rf_critical_passed,rf_duration,rf_failed,rf_name,rf_name_1,rf_passed,rf_suite_name
2019-08-23T16:00:27.871000105Z,5474,Altiplano,Altiplano,Altiplano,0,1,5778,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-23T17:08:05.964000105Z,5475,Altiplano,Altiplano,Altiplano,0,1,8462,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-23T18:02:25.867000105Z,5476,Altiplano,Altiplano,Altiplano,0,1,5575,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-23T19:09:46.182000105Z,5477,Altiplano,Altiplano,Altiplano,0,1,5477,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-24T06:34:28.376000105Z,5480,Altiplano,Altiplano,Altiplano,0,1,8528,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-24T07:49:09.837000105Z,5481,Altiplano,Altiplano,Altiplano,0,1,5563,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-24T10:33:08.276000105Z,5484,Altiplano,Altiplano,Altiplano,0,1,8467,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-24T11:42:40.704000105Z,5485,Altiplano,Altiplano,Altiplano,0,1,9779,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-24T12:42:41.232000105Z,5486,Altiplano,Altiplano,Altiplano,0,1,9347,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-24T13:50:22.608000105Z,5487,Altiplano,Altiplano,Altiplano,0,1,8695,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-24T15:10:40.610000105Z,5489,Altiplano,Altiplano,Altiplano,0,1,9712,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-24T16:27:26.476000105Z,5490,Altiplano,Altiplano,Altiplano,0,1,12127,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-24T17:38:32.015000105Z,5491,Altiplano,Altiplano,Altiplano,0,1,11368,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-24T19:17:49.367000105Z,5492,Altiplano,Altiplano,Altiplano,0,1,15089,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-24T20:24:25.530000105Z,5493,Altiplano,Altiplano,Altiplano,0,1,10810,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-24T21:26:37.529000105Z,5494,Altiplano,Altiplano,Altiplano,0,1,10099,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-24T22:30:18.046000105Z,5495,Altiplano,Altiplano,Altiplano,0,1,12572,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-25T01:03:07.628000105Z,5496,Altiplano,Altiplano,Altiplano,0,1,8422,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-25T01:57:34.291000105Z,5497,Altiplano,Altiplano,Altiplano,0,1,8414,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-25T03:15:48.853000105Z,5498,Altiplano,Altiplano,Altiplano,0,1,5603,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-25T04:08:21.511000105Z,5499,Altiplano,Altiplano,Altiplano,0,1,5783,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-25T05:07:27.047000105Z,5500,Altiplano,Altiplano,Altiplano,0,1,9026,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-25T06:04:18.190000105Z,5501,Altiplano,Altiplano,Altiplano,0,1,6963,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-25T07:15:43.732000105Z,5502,Altiplano,Altiplano,Altiplano,0,1,5735,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-25T08:10:57.766000105Z,5503,Altiplano,Altiplano,Altiplano,0,1,9208,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-25T09:17:39.809000105Z,5504,Altiplano,Altiplano,Altiplano,0,1,8795,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-25T10:24:16.698000105Z,5505,Altiplano,Altiplano,Altiplano,0,1,8717,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
