
 num     #instances         #bytes  class name
 296:           163           9128  java.util.concurrent.ConcurrentHashMap$ValueIterator
 297:           161           9016  java.util.concurrent.ConcurrentHashMap$KeyIterator
 298:           261           9008  [Lsun.security.x509.RDN;
 299:           281           8992  java.lang.invoke.DirectMethodHandle
 300:           140           8960  java.util.jar.JarFile
 301:           224           8960  org.codehaus.groovy.ast.VariableScope
 302:           159           8904  [Ljava.util.regex.Pattern$GroupHead;
 303:           159           8904  org.apache.commons.jelly.tags.core.NewTag
 304:           159           8904  org.kohsuke.stapler.RequestImpl
 305:            50           8824  [Ljava.beans.MethodDescriptor;
 306:           361           8664  com.google.inject.internal.ProvisionListenerStackCallback
 307:           361           8656  [Lcom.google.inject.spi.ProvisionListener;
 308:           144           8640  [Ljava.lang.ref.SoftReference;
 309:           294           8640  [[B
 310:           360           8640  com.google.inject.internal.ProvisionListenerCallbackStore$KeyBinding
 311:           359           8616  com.google.inject.internal.ConstructionContext
 312:           359           8616  com.google.inject.internal.InternalFactoryToProviderAdapter
 313:           359           8616  com.google.inject.internal.ProviderToInternalFactoryAdapter
 314:           215           8600  org.codehaus.groovy.ast.stmt.ReturnStatement
 315:           357           8568  hudson.ExtensionFinder$GuiceFinder$FaultTolerantScope$1
 316:           357           8568  net.java.sezpoz.IndexItem$AnnotationProxy
 317:           175           8400  java.util.zip.Inflater
 318:           348           8352  sun.reflect.generics.factory.CoreReflectionFactory
 319:           336           8064  com.google.inject.internal.DefaultConstructionProxyFactory$1
 320:           336           8064  com.google.inject.internal.cglib.reflect.$FastConstructor
 321:           335           8040  java.util.concurrent.ConcurrentLinkedQueue$Node
 322:           137           8032  [Lgroovy.lang.MetaMethod;
 323:           334           8016  org.codehaus.groovy.util.SingleKeyHashMap
 324:           334           8016  sun.nio.ch.SocketOptionRegistry$RegistryKey
 325:           492           7872  hudson.util.Iterators$5
 326:           246           7872  java.lang.invoke.BoundMethodHandle$Species_L
 327:           326           7824  hudson.model.Queue$JobOffer
 328:           244           7808  java.util.concurrent.ConcurrentSkipListMap$ValueIterator
 329:           323           7752  org.eclipse.jetty.util.thread.Locker
 330:           373           7736  [Lsun.reflect.generics.tree.FieldTypeSignature;
 331:           321           7704  org.eclipse.jetty.util.AtomicBiInteger
 332:           320           7680  [Ljava.net.InetSocketAddress;
 333:           320           7680  org.eclipse.jetty.io.AbstractEndPoint$1
 334:           320           7680  org.eclipse.jetty.io.AbstractEndPoint$2
 335:           320           7680  org.eclipse.jetty.util.SharedBlockingCallback$Blocker
 336:           160           7680  org.kohsuke.stapler.jelly.CustomJellyContext
 337:           320           7680  org.kohsuke.stapler.lang.Klass
 338:           319           7656  org.codehaus.groovy.util.ManagedConcurrentLinkedQueue$Element
 339:           159           7632  java.util.StringTokenizer
 340:           318           7632  java.util.stream.ReferencePipeline$3$1
 341:           318           7632  jenkins.security.stapler.StaplerDispatchValidator$$Lambda$133/216377168
 342:           477           7632  org.eclipse.jetty.http.HttpParser$$Lambda$110/1597382705
 343:           318           7632  org.eclipse.jetty.io.ManagedSelector$DestroyEndPoint
 344:           477           7632  org.eclipse.jetty.server.HttpChannel$$Lambda$114/1187190049
 345:           477           7632  org.eclipse.jetty.server.HttpChannel$$Lambda$121/1848650988
 346:           477           7632  org.eclipse.jetty.util.Callback$4
 347:           234           7488  java.util.regex.Pattern$Curly
 348:           310           7440  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl
 349:           230           7360  com.google.inject.spi.Dependency
 350:           227           7264  java.util.Collections$SynchronizedMap
 351:           302           7248  java.util.LinkedList$Node
 352:           149           7152  java.lang.invoke.LambdaForm
 353:           149           7152  sun.misc.URLClassPath$JarLoader
 354:           354           7080  [Lhudson.model.Computer;
 355:           125           7000  sun.security.util.MemoryCache$SoftCacheEntry
 356:           125           7000  sun.security.x509.X509CertInfo
 357:           290           6960  org.codehaus.groovy.reflection.CachedField
 358:           289           6936  java.lang.Long
 359:           173           6920  org.codehaus.groovy.runtime.metaclass.NewInstanceMetaMethod
 360:           154           6760  [Ljava.lang.invoke.LambdaForm$Name;
 361:           169           6760  java.io.BufferedWriter
 362:           162           6480  java.security.ProtectionDomain
 363:           161           6440  org.dom4j.io.OutputFormat
 364:           136           6400  [Ljava.lang.Integer;
 365:           159           6360  java.util.ArrayList$SubList
 366:           159           6360  java.util.ArrayList$SubList$1
 367:           159           6360  org.apache.commons.jelly.tags.xml.DoctypeTag
