INFO   | jvm 1    | 2010/02/08 14:17:27 | 	at winstone.RequestHandlerThread.processRequest(RequestHandlerThread.java:244)
INFO   | jvm 1    | 2010/02/08 14:17:27 | 	at winstone.RequestHandlerThread.run(RequestHandlerThread.java:150)
INFO   | jvm 1    | 2010/02/08 14:17:27 | 	at java.lang.Thread.run(Thread.java:619)
INFO   | jvm 1    | 2010/02/08 14:17:27 | Caused by: java.lang.NullPointerException
INFO   | jvm 1    | 2010/02/08 14:17:27 | 	at java.lang.String.compareTo(String.java:1168)
INFO   | jvm 1    | 2010/02/08 14:17:27 | 	at hudson.model.Job$2.compare(Job.java:437)
INFO   | jvm 1    | 2010/02/08 14:17:27 | 	at hudson.model.Job$2.compare(Job.java:431)
INFO   | jvm 1    | 2010/02/08 14:17:27 | 	at hudson.widgets.HistoryWidget.doAjax(HistoryWidget.java:163)
INFO   | jvm 1    | 2010/02/08 14:17:27 | 	... 51 more
INFO   | jvm 1    | 2010/02/08 14:17:27 | 
INFO   | jvm 1    | 2010/02/08 14:17:27 | [Winstone 2010/02/08 14:17:27] - Untrapped Error in Servlet
INFO   | jvm 1    | 2010/02/08 14:17:27 | javax.servlet.ServletException: java.lang.NullPointerException
INFO   | jvm 1    | 2010/02/08 14:17:27 | 	at org.kohsuke.stapler.Stapler.invoke(Stapler.java:554)
INFO   | jvm 1    | 2010/02/08 14:17:27 | 	at org.kohsuke.stapler.MetaClass$12.dispatch(MetaClass.java:318)
INFO   | jvm 1    | 2010/02/08 14:17:27 | 	at org.kohsuke.stapler.Stapler.invoke(Stapler.java:519)
INFO   | jvm 1    | 2010/02/08 14:17:27 | 	at org.kohsuke.stapler.MetaClass$6.doDispatch(MetaClass.java:180)
INFO   | jvm 1    | 2010/02/08 14:17:27 | 	at org.kohsuke.stapler.NameBasedDispatcher.dispatch(NameBasedDispatcher.java:30)
INFO   | jvm 1    | 2010/02/08 14:17:27 | 	at org.kohsuke.stapler.Stapler.invoke(Stapler.java:519)
INFO   | jvm 1    | 2010/02/08 14:17:27 | 	at org.kohsuke.stapler.Stapler.invoke(Stapler.java:435)
INFO   | jvm 1    | 2010/02/08 14:17:27 | 	at org.kohsuke.stapler.Stapler.service(Stapler.java:123)
